x,y,z,pressure
0.25225648,0.013000302,0.131,38152.598
0.25225648,0.014050936,0.131,38111.344
0.2487694,0.013000302,0.131,39087.961
0.25225648,0.015206633,0.131,38065.441
0.2487694,0.014050936,0.131,39046.531
0.24528234,0.013000302,0.131,40056.777
0.25225648,0.0164779,0.131,38014.254
0.2487694,0.015206633,0.131,39000.258
0.24528234,0.014050936,0.131,40014.988
0.24179527,0.013000302,0.131,41058.266
0.25225648,0.017876294,0.131,37957.059
0.2487694,0.0164779,0.131,38948.504
0.24528234,0.015206633,0.131,39968.285
0.24179527,0.014050936,0.131,41016.289
0.23830822,0.013000302,0.131,42090.859
0.25225648,0.019414527,0.131,37893.039
0.2487694,0.017876294,0.131,38890.59
0.24528234,0.0164779,0.131,39916.062
0.24179527,0.015206633,0.131,40969.379
0.23830822,0.014050936,0.131,42048.812
0.23482114,0.013000302,0.131,43153.074
0.25225648,0.021106582,0.131,37821.305
0.2487694,0.019414527,0.131,38825.758
0.24528234,0.017876294,0.131,39857.672
0.24179527,0.0164779,0.131,40916.934
0.23830822,0.015206633,0.131,42001.816
0.23482114,0.014050936,0.131,43110.969
0.23133408,0.013000302,0.131,44244.723
0.25225648,0.02295731,0.131,37741.363
0.2487694,0.021106582,0.131,38753.188
0.24528234,0.019414527,0.131,39792.387
0.24179527,0.017876294,0.131,40858.301
0.23830822,0.0164779,0.131,41949.254
0.23482114,0.015206633,0.131,43063.914
0.23133408,0.014050936,0.131,44202.594
0.22784702,0.013000302,0.131,45366.141
0.25225648,0.024886135,0.131,37656.535
0.2487694,0.02295731,0.131,38672.457
0.24528234,0.021106582,0.131,39719.395
0.24179527,0.019414527,0.131,40792.738
0.23830822,0.017876294,0.131,41890.445
0.23482114,0.0164779,0.131,43011.262
0.23133408,0.015206633,0.131,44155.516
0.22784702,0.014050936,0.131,45324.059
0.22435996,0.013000302,0.131,46517.723
0.25225648,0.02681496,0.131,37570.266
0.2487694,0.024886135,0.131,38586.934
0.24528234,0.02295731,0.131,39638.262
0.24179527,0.021106582,0.131,40719.395
0.23830822,0.019414527,0.131,41824.602
0.23482114,0.017876294,0.131,42952.305
0.23133408,0.0164779,0.131,44102.84
0.22784702,0.015206633,0.131,45277.047
0.22435996,0.014050936,0.131,46475.754
0.22087291,0.013000302,0.131,47699.816
0.25225648,0.028743785,0.131,37482.695
0.2487694,0.02681496,0.131,38500.059
0.24528234,0.024886135,0.131,39552.312
0.24179527,0.02295731,0.131,40637.773
0.23830822,0.021106582,0.131,41750.816
0.23482114,0.019414527,0.131,42886.211
0.23133408,0.017876294,0.131,44043.824
0.22784702,0.0164779,0.131,45224.445
0.22435996,0.015206633,0.131,46428.902
0.22087291,0.014050936,0.131,47658.016
0.21738583,0.013000302,0.131,48912.422
0.25225648,0.030672612,0.131,37393.922
0.2487694,0.028743785,0.131,38411.906
0.24528234,0.02681496,0.131,39464.922
0.24179527,0.024886135,0.131,40551.16
0.23830822,0.02295731,0.131,41668.535
0.23482114,0.021106582,0.131,42812.027
0.23133408,0.019414527,0.131,43977.609
0.22784702,0.017876294,0.131,45165.5
0.22435996,0.0164779,0.131,46376.484
0.22087291,0.015206633,0.131,47611.375
0.21738583,0.014050936,0.131,48870.77
0.21389876,0.013000302,0.131,50155.145
0.25225648,0.032601438,0.131,37304.035
0.2487694,0.030672612,0.131,38322.508
0.24528234,0.028743785,0.131,39376.117
0.24179527,0.02681496,0.131,40462.914
0.23830822,0.024886135,0.131,41581.02
0.23482114,0.02295731,0.131,42729.125
0.23133408,0.021106582,0.131,43903.184
0.22784702,0.019414527,0.131,45099.309
0.22435996,0.017876294,0.131,46317.738
0.22087291,0.0164779,0.131,47559.215
0.21738583,0.015206633,0.131,48824.324
0.21389876,0.014050936,0.131,50113.578
0.21041171,0.013000302,0.131,51427.926
0.25225648,0.03453026,0.131,37213.133
0.2487694,0.032601438,0.131,38231.891
0.24528234,0.030672612,0.131,39285.879
0.24179527,0.028743785,0.131,40373.031
0.23830822,0.02681496,0.131,41491.645
0.23482114,0.024886135,0.131,42640.75
0.23133408,0.02295731,0.131,43819.855
0.22784702,0.021106582,0.131,45024.824
0.22435996,0.019414527,0.131,46251.734
0.22087291,0.017876294,0.131,47500.758
0.21738583,0.0164779,0.131,48772.41
0.21389876,0.015206633,0.131,50067.27
0.21041171,0.014050936,0.131,51386.48
0.20692465,0.013000302,0.131,52731.34
0.25225648,0.036459088,0.131,37121.328
0.2487694,0.03453026,0.131,38140.082
0.24528234,0.032601438,0.131,39194.18
0.24179527,0.030672612,0.131,40281.465
0.23830822,0.028743785,0.131,41400.398
0.23482114,0.02681496,0.131,42550.281
0.23133408,0.024886135,0.131,43730.836
0.22784702,0.02295731,0.131,44941.293
0.22435996,0.021106582,0.131,46177.387
0.22087291,0.019414525,0.131,47435.059
0.21738583,0.017876294,0.131,48714.25
0.21389876,0.0164779,0.131,50015.574
0.21041171,0.015206633,0.131,51340.418
0.20692465,0.014050936,0.131,52690.363
0.20343757,0.013000302,0.131,54065.703
0.25225648,0.03838791,0.131,37028.734
0.2487694,0.036459088,0.131,38047.129
0.24528234,0.03453026,0.131,39101.023
0.24179527,0.032601438,0.131,40188.188
0.23830822,0.030672612,0.131,41307.254
0.23482114,0.028743785,0.131,42457.734
0.23133408,0.02681496,0.131,43639.512
0.22784702,0.024886135,0.131,44851.895
0.22435996,0.02295731,0.131,46093.906
0.22087291,0.021106582,0.131,47361.02
0.21738583,0.019414525,0.131,48648.918
0.21389876,0.017876294,0.131,49957.742
0.21041171,0.0164779,0.131,51289.133
0.20692465,0.015206633,0.131,52645.008
0.20343757,0.014050936,0.131,54025.93
0.19995052,0.013000302,0.131,55429.684
0.25225648,0.040316738,0.131,36935.496
0.2487694,0.03838791,0.131,37953.094
0.24528234,0.036459088,0.131,39006.43
0.24179527,0.03453026,0.131,40093.203
0.23830822,0.032601438,0.131,41212.199
0.23482114,0.030672612,0.131,42363.105
0.23133408,0.028743785,0.131,43545.926
0.22784702,0.02681496,0.131,44760.031
0.22435996,0.024886135,0.131,46004.453
0.22087291,0.02295731,0.131,47277.84
0.21738583,0.021106582,0.131,48575.332
0.21389876,0.019414525,0.131,49892.926
0.21041171,0.017876294,0.131,51231.984
0.20692465,0.0164779,0.131,52594.785
0.20343757,0.015206633,0.131,53982.195
0.19995052,0.014050936,0.131,55392.242
0.19646345,0.013000302,0.131,56820.555
0.25225648,0.042245559,0.131,36841.773
0.2487694,0.040316738,0.131,37858.086
0.24528234,0.03838791,0.131,38910.453
0.24179527,0.036459088,0.131,39996.555
0.23830822,0.03453026,0.131,41115.289
0.23482114,0.032601438,0.131,42266.445
0.23133408,0.030672612,0.131,43450.137
0.22784702,0.028743785,0.131,44665.797
0.22435996,0.02681496,0.131,45912.465
0.22087291,0.024886135,0.131,47188.699
0.21738583,0.02295731,0.131,48492.77
0.21389876,0.021106582,0.131,49820.152
0.21041171,0.019414525,0.131,51168.258
0.20692465,0.017876294,0.131,52539.207
0.20343757,0.0164779,0.131,53934.152
0.19995052,0.015206633,0.131,55351.418
0.19646345,0.014050936,0.131,56786.945
0.1929764,0.013000302,0.131,58234.816
0.25225648,0.044174388,0.131,36747.793
0.2487694,0.042245559,0.131,37762.25
0.24528234,0.040316738,0.131,38813.219
0.24179527,0.03838791,0.131,39898.352
0.23830822,0.036459088,0.131,41016.648
0.23482114,0.03453026,0.131,42167.898
0.23133408,0.032601438,0.131,43352.285
0.22784702,0.030672612,0.131,44569.328
0.22435996,0.028743785,0.131,45818.098
0.22087291,0.02681496,0.131,47097.09
0.21738583,0.024886135,0.131,48404.488
0.21389876,0.02295731,0.131,49738.875
0.21041171,0.021106582,0.131,51097.199
0.20692465,0.019414525,0.131,52477.773
0.20343757,0.017876294,0.131,53881.512
0.19995052,0.0164779,0.131,55307.039
0.19646345,0.015206633,0.131,56750.691
0.1929764,0.014050936,0.131,58206.906
0.18948933,0.013000302,0.131,59666.484
0.25225648,0.046103209,0.131,36653.836
0.2487694,0.044174388,0.131,37665.859
0.24528234,0.042245559,0.131,38714.938
0.24179527,0.040316738,0.131,39798.801
0.23830822,0.03838791,0.131,40916.477
0.23482114,0.036459088,0.131,42067.691
0.23133408,0.03453026,0.131,43252.613
0.22784702,0.032601438,0.131,44470.863
0.22435996,0.030672612,0.131,45721.586
0.22087291,0.028743785,0.131,47003.27
0.21738583,0.02681496,0.131,48314.055
0.21389876,0.024886135,0.131,49652.504
0.21041171,0.02295731,0.131,51018.562
0.20692465,0.021106582,0.131,52410.016
0.20343757,0.019414525,0.131,53824.039
0.19995052,0.017876294,0.131,55259.031
0.19646345,0.0164779,0.131,56711.801
0.1929764,0.015206633,0.131,58177.27
0.18948933,0.014050936,0.131,59646.48
0.18600225,0.013000302,0.131,61107.086
0.25225648,0.048032038,0.131,36560.242
0.2487694,0.046103209,0.131,37569.258
0.24528234,0.044174388,0.131,38615.957
0.24179527,0.042245559,0.131,39698.199
0.23830822,0.040316738,0.131,40815.086
0.23482114,0.03838791,0.131,41966.152
0.23133408,0.036459088,0.131,43151.48
0.22784702,0.03453026,0.131,44370.777
0.22435996,0.032601438,0.131,45623.285
0.22087291,0.030672612,0.131,46907.574
0.21738583,0.028743785,0.131,48221.859
0.21389876,0.02681496,0.131,49564.707
0.21041171,0.024886135,0.131,50935.914
0.20692465,0.02295731,0.131,52336.039
0.20343757,0.021106582,0.131,53761.582
0.19995052,0.019414525,0.131,55207.43
0.19646345,0.017876294,0.131,56670.426
0.1929764,0.0164779,0.131,58146.082
0.18948933,0.015206633,0.131,59625.875
0.18600225,0.014050936,0.131,61097.703
0.18251519,0.013000302,0.131,62542.859
0.25225648,0.049960859,0.131,36467.465
0.2487694,0.048032038,0.131,37472.891
0.24528234,0.046103209,0.131,38516.746
0.24179527,0.044174388,0.131,39597.02
0.23830822,0.042245559,0.131,40712.879
0.23482114,0.040316738,0.131,41863.707
0.23133408,0.03838791,0.131,43049.344
0.22784702,0.036459088,0.131,44269.547
0.22435996,0.03453026,0.131,45523.691
0.22087291,0.032601438,0.131,46810.5
0.21738583,0.030672612,0.131,48128.383
0.21389876,0.028743785,0.131,49476.016
0.21041171,0.02681496,0.131,50852.969
0.20692465,0.024886135,0.131,52259.496
0.20343757,0.02295731,0.131,53694.602
0.19995052,0.021106582,0.131,55152.41
0.19646345,0.019414525,0.131,56626.879
0.1929764,0.017876294,0.131,58113.746
0.18948933,0.0164779,0.131,59605.031
0.18600225,0.015206633,0.131,61089.012
0.18251519,0.014050936,0.131,62546.82
0.17902812,0.013000302,0.131,63957.359
0.25225648,0.051889684,0.131,36375.969
0.2487694,0.049960859,0.131,37377.336
0.24528234,0.048032038,0.131,38417.883
0.24179527,0.046103209,0.131,39495.848
0.23830822,0.044174388,0.131,40610.449
0.23482114,0.042245559,0.131,41760.883
0.23133408,0.040316738,0.131,42946.754
0.22784702,0.03838791,0.131,44167.754
0.22435996,0.036459088,0.131,45423.414
0.22087291,0.03453026,0.131,46712.688
0.21738583,0.032601438,0.131,48034.27
0.21389876,0.030672612,0.131,49387.039
0.21041171,0.028743785,0.131,50770.367
0.20692465,0.02681496,0.131,52184.023
0.20343757,0.024886135,0.131,53626.695
0.19995052,0.02295731,0.131,55094.785
0.19646345,0.021106582,0.131,56581.684
0.1929764,0.019414525,0.131,58080.898
0.18948933,0.017876294,0.131,59584.602
0.18600225,0.0164779,0.131,61081.555
0.18251519,0.015206633,0.131,62553.066
0.17902812,0.014050936,0.131,63977.832
0.17554107,0.013000302,0.131,65329.883
0.25225648,0.053818509,0.131,36286.477
0.2487694,0.051889684,0.131,37283.176
0.24528234,0.049960859,0.131,38320.09
0.24179527,0.048032038,0.131,39395.383
0.23830822,0.046103209,0.131,40508.48
0.23482114,0.044174388,0.131,41658.363
0.23133408,0.042245559,0.131,42844.355
0.22784702,0.040316738,0.131,44066.086
0.22435996,0.03838791,0.131,45323.18
0.22087291,0.036459088,0.131,46614.91
0.21738583,0.03453026,0.131,47940.316
0.21389876,0.032601438,0.131,49298.547
0.21041171,0.030672612,0.131,50688.812
0.20692465,0.028743785,0.131,52110.312
0.20343757,0.02681496,0.131,53561.27
0.19995052,0.024886135,0.131,55037.996
0.19646345,0.02295731,0.131,56536.039
0.1929764,0.021106582,0.131,58048.441
0.18948933,0.019414525,0.131,59565.555
0.18600225,0.017876294,0.131,61076.219
0.18251519,0.0164779,0.131,62562.375
0.17902812,0.015206633,0.131,64001.789
0.17554107,0.014050936,0.131,65367.703
0.17205401,0.013000302,0.131,66635.5
0.25225648,0.055747338,0.131,36199.695
0.2487694,0.053818509,0.131,37191.266
0.24528234,0.051889684,0.131,38224.082
0.24179527,0.049960859,0.131,39296.477
0.23830822,0.048032038,0.131,40407.766
0.23482114,0.046103209,0.131,41556.918
0.23133408,0.044174388,0.131,42742.941
0.22784702,0.042245559,0.131,43965.301
0.22435996,0.040316738,0.131,45223.82
0.22087291,0.03838791,0.131,46518.062
0.21738583,0.036459088,0.131,47847.473
0.21389876,0.03453026,0.131,49211.449
0.21041171,0.032601438,0.131,50609.109
0.20692465,0.030672612,0.131,52039.09
0.20343757,0.028743785,0.131,53499.035
0.19995052,0.02681496,0.131,54985.133
0.19646345,0.024886135,0.131,56493.152
0.1929764,0.02295731,0.131,58017.992
0.18948933,0.021106582,0.131,59549.199
0.18600225,0.019414525,0.131,61074.312
0.18251519,0.017876294,0.131,62575.688
0.17902812,0.0164779,0.131,64030.336
0.17554107,0.015206633,0.131,65411.352
0.17205401,0.014050936,0.131,66691.172
0.16856694,0.013000302,0.131,67849.383
0.25225648,0.057676159,0.131,36116.582
0.2487694,0.055747338,0.131,37102.422
0.24528234,0.053818509,0.131,38130.824
0.24179527,0.051889684,0.131,39199.922
0.23830822,0.049960859,0.131,40309.223
0.23482114,0.048032038,0.131,41457.402
0.23133408,0.046103209,0.131,42643.363
0.22784702,0.044174388,0.131,43866.32
0.22435996,0.042245559,0.131,45126.23
0.22087291,0.040316738,0.131,46423.133
0.21738583,0.03838791,0.131,47756.766
0.21389876,0.036459088,0.131,49126.77
0.21041171,0.03453026,0.131,50532.18
0.20692465,0.032601438,0.131,51971.129
0.20343757,0.030672612,0.131,53440.699
0.19995052,0.028743785,0.131,54936.906
0.19646345,0.02681496,0.131,56455.664
0.1929764,0.024886135,0.131,57992.328
0.18948933,0.02295731,0.131,59537.516
0.18600225,0.021106582,0.131,61077.535
0.18251519,0.019414525,0.131,62594.23
0.17902812,0.017876294,0.131,64064.93
0.17554107,0.0164779,0.131,65461.555
0.17205401,0.015206633,0.131,66754.188
0.16856694,0.014050936,0.131,67920.141
0.16507988,0.013000302,0.131,68948.93
0.25225648,0.059604988,0.131,36038.012
0.2487694,0.057676159,0.131,37017.695
0.24528234,0.055747338,0.131,38041.199
0.24179527,0.053818509,0.131,39106.75
0.23830822,0.051889684,0.131,40213.684
0.23482114,0.049960859,0.131,41360.785
0.23133408,0.048032038,0.131,42546.531
0.22784702,0.046103209,0.131,43770.094
0.22435996,0.044174388,0.131,45031.453
0.22087291,0.042245559,0.131,46331.125
0.21738583,0.040316738,0.131,47669.273
0.21389876,0.03838791,0.131,49045.551
0.21041171,0.036459088,0.131,50458.977
0.20692465,0.03453026,0.131,51907.234
0.20343757,0.032601438,0.131,53386.93
0.19995052,0.030672612,0.131,54893.941
0.19646345,0.028743785,0.131,56424.23
0.1929764,0.02681496,0.131,57973.418
0.18948933,0.024886135,0.131,59532.496
0.18600225,0.02295731,0.131,61087.785
0.18251519,0.021106582,0.131,62619.914
0.17902812,0.019414525,0.131,64106.898
0.17554107,0.017876294,0.131,65519.352
0.17205401,0.0164779,0.131,66825.211
0.16856694,0.015206633,0.131,67999.422
0.16507988,0.014050936,0.131,69030.109
0.16159281,0.013000302,0.131,69918.633
0.25225648,0.061533809,0.131,35965.074
0.2487694,0.059604988,0.131,36938.0
0.24528234,0.057676159,0.131,37956.285
0.24179527,0.055747338,0.131,39017.848
0.23830822,0.053818509,0.131,40122.203
0.23482114,0.051889684,0.131,41267.887
0.23133408,0.049960859,0.131,42453.434
0.22784702,0.048032038,0.131,43677.574
0.22435996,0.046103209,0.131,44940.504
0.22087291,0.044174388,0.131,46243.121
0.21738583,0.042245559,0.131,47585.973
0.21389876,0.040316738,0.131,48968.781
0.21041171,0.03838791,0.131,50390.363
