x,y,z,pressure
0.23495001,0.018698405,0.131,52735.449
0.21717,0.01275,0.131,52740.094
0.23495001,0.020128164,0.131,52722.672
0.23241,0.018698405,0.131,52734.742
0.22986999,0.017455135,0.131,52743.219
0.21717,0.0132875,0.131,52740.938
0.21463001,0.01275,0.131,52732.395
0.25272998,0.032373562,0.131,52631.477
0.24765,0.029312057,0.131,52640.504
0.24257,0.026250554,0.131,52662.395
0.24002999,0.024719801,0.131,52677.137
0.23749,0.023189049,0.131,52693.293
0.23495001,0.021658298,0.131,52708.887
0.23241,0.020128164,0.131,52723.543
0.22986999,0.018698405,0.131,52735.363
0.22733,0.017455135,0.131,52743.332
0.22478999,0.016374029,0.131,52747.902
0.22225,0.01543394,0.131,52749.016
0.21971001,0.014616469,0.131,52746.914
0.21717,0.013905625,0.131,52741.773
0.21463001,0.0132875,0.131,52733.797
0.21209,0.01275,0.131,52723.242
0.25272998,0.033904314,0.131,52619.863
0.25018999,0.032373562,0.131,52621.82
0.24765,0.030842811,0.131,52626.926
0.24510999,0.029312057,0.131,52635.469
0.24257,0.027781306,0.131,52647.348
0.24002999,0.026250554,0.131,52662.184
0.23749,0.024719801,0.131,52678.5
0.23495001,0.023189049,0.131,52695.434
0.23241,0.021658298,0.131,52711.312
0.22986999,0.020128164,0.131,52725.785
0.22733,0.018698405,0.131,52737.0
0.22478999,0.017455135,0.131,52744.008
0.22225,0.016374029,0.131,52747.246
0.21971001,0.01543394,0.131,52746.688
0.21717,0.014616469,0.131,52742.574
0.21463001,0.013905625,0.131,52735.316
0.21209,0.0132875,0.131,52725.156
0.20954999,0.01275,0.131,52712.285
0.25272998,0.035435066,0.131,52609.578
0.25018999,0.033904314,0.131,52610.531
0.24765,0.032373562,0.131,52614.719
0.24510999,0.030842811,0.131,52622.184
0.24257,0.029312057,0.131,52633.453
0.24002999,0.027781306,0.131,52647.734
0.23749,0.026250554,0.131,52664.383
0.23495001,0.024719801,0.131,52681.789
0.23241,0.023189049,0.131,52699.199
0.22986999,0.021658298,0.131,52715.133
0.22733,0.020128164,0.131,52729.078
0.22478999,0.018698405,0.131,52739.219
0.22225,0.017455135,0.131,52744.781
0.21971001,0.016374029,0.131,52746.113
0.21717,0.01543394,0.131,52743.367
0.21463001,0.014616469,0.131,52736.93
0.21209,0.013905625,0.131,52727.301
0.20954999,0.0132875,0.131,52714.668
0.20701,0.01275,0.131,52699.172
0.25272998,0.036965817,0.131,52600.469
0.25018999,0.035435066,0.131,52600.57
0.24765,0.033904314,0.131,52603.676
0.24510999,0.032373562,0.131,52610.195
0.24257,0.030842811,0.131,52620.453
0.24002999,0.029312057,0.131,52634.258
0.23749,0.027781306,0.131,52650.594
0.23495001,0.026250554,0.131,52668.57
0.23241,0.024719801,0.131,52686.734
0.22986999,0.023189049,0.131,52704.371
0.22733,0.021658298,0.131,52720.043
0.22478999,0.020128164,0.131,52732.984
0.22225,0.018698405,0.131,52741.516
0.21971001,0.017455135,0.131,52745.113
0.21717,0.016374029,0.131,52743.926
0.21463001,0.01543394,0.131,52738.625
0.21209,0.014616469,0.131,52729.609
0.20954999,0.013905625,0.131,52717.379
0.20701,0.0132875,0.131,52701.988
0.20446999,0.01275,0.131,52683.59
0.25272998,0.038496573,0.131,52592.582
0.25018999,0.036965817,0.131,52591.797
0.24765,0.035435066,0.131,52593.941
0.24510999,0.033904314,0.131,52599.32
0.24257,0.032373562,0.131,52608.625
0.24002999,0.030842811,0.131,52621.535
0.23749,0.029312057,0.131,52637.562
0.23495001,0.027781306,0.131,52655.496
0.23241,0.026250554,0.131,52674.449
0.22986999,0.024719801,0.131,52693.105
0.22733,0.023189049,0.131,52710.648
0.22478999,0.021658298,0.131,52725.59
0.22225,0.020128164,0.131,52736.973
0.21971001,0.018698405,0.131,52743.34
0.21717,0.017455135,0.131,52744.293
0.21463001,0.016374029,0.131,52740.277
0.21209,0.01543394,0.131,52732.156
0.20954999,0.014616469,0.131,52720.32
0.20701,0.013905625,0.131,52705.211
0.20446999,0.0132875,0.131,52686.793
0.20193,0.01275,0.131,52665.312
0.25272998,0.040027324,0.131,52585.785
0.25018999,0.038496573,0.131,52584.238
0.24765,0.036965817,0.131,52585.371
0.24510999,0.035435066,0.131,52589.688
0.24257,0.033904314,0.131,52597.824
0.24002999,0.032373562,0.131,52609.824
0.23749,0.030842811,0.131,52625.113
0.23495001,0.029312057,0.131,52642.922
0.23241,0.027781306,0.131,52662.105
0.22986999,0.026250554,0.131,52681.762
0.22733,0.024719801,0.131,52700.598
0.22478999,0.023189049,0.131,52717.598
0.22225,0.021658298,0.131,52731.25
0.21971001,0.020128164,0.131,52740.484
0.21717,0.018698405,0.131,52744.051
0.21463001,0.017455135,0.131,52741.816
0.21209,0.016374029,0.131,52734.773
0.20954999,0.01543394,0.131,52723.652
0.20701,0.014616469,0.131,52708.742
0.20446999,0.013905625,0.131,52690.484
0.20193,0.0132875,0.131,52668.855
0.19938999,0.01275,0.131,52644.281
0.25272998,0.041558076,0.131,52580.074
0.25018999,0.040027324,0.131,52577.773
0.24765,0.038496573,0.131,52577.984
0.24510999,0.036965817,0.131,52581.176
0.24257,0.035435066,0.131,52588.164
0.24002999,0.033904314,0.131,52599.012
0.23749,0.032373562,0.131,52613.477
