x,y,z,pressure
0.25225648,0.013000302,0.131,39101.328
0.25225648,0.014050936,0.131,39081.5
0.2487694,0.013000302,0.131,40102.117
0.25225648,0.015206633,0.131,39059.629
0.2487694,0.014050936,0.131,40080.75
0.24528234,0.013000302,0.131,41132.07
0.25225648,0.0164779,0.131,39035.711
0.2487694,0.015206633,0.131,40057.625
0.24528234,0.014050936,0.131,41109.609
0.24179527,0.013000302,0.131,42194.219
0.25225648,0.017876294,0.131,39009.477
0.2487694,0.0164779,0.131,40032.84
0.24528234,0.015206633,0.131,41085.734
0.24179527,0.014050936,0.131,42170.922
0.23830822,0.013000302,0.131,43289.383
0.25225648,0.019414527,0.131,38979.84
0.2487694,0.017876294,0.131,40006.133
0.24528234,0.0164779,0.131,41060.621
0.24179527,0.015206633,0.131,42146.516
0.23830822,0.014050936,0.131,43265.281
0.23482114,0.013000302,0.131,44417.984
0.25225648,0.021106582,0.131,38944.145
0.2487694,0.019414527,0.131,39976.219
0.24528234,0.017876294,0.131,41033.953
0.24179527,0.0164779,0.131,42121.211
0.23830822,0.015206633,0.131,43240.301
0.23482114,0.014050936,0.131,44392.949
0.23133408,0.013000302,0.131,45580.965
0.25225648,0.02295731,0.131,38898.074
0.2487694,0.021106582,0.131,39940.082
0.24528234,0.019414527,0.131,41004.188
0.24179527,0.017876294,0.131,42094.535
0.23830822,0.0164779,0.131,43214.586
0.23482114,0.015206633,0.131,44367.164
0.23133408,0.014050936,0.131,45554.734
0.22784702,0.013000302,0.131,46778.984
0.25225648,0.024886135,0.131,38839.402
0.2487694,0.02295731,0.131,39892.988
0.24528234,0.021106582,0.131,40967.887
0.24179527,0.019414527,0.131,42064.629
0.23830822,0.017876294,0.131,43187.438
0.23482114,0.0164779,0.131,44340.633
0.23133408,0.015206633,0.131,45527.777
0.22784702,0.014050936,0.131,46751.176
0.22435996,0.013000302,0.131,48012.504
0.25225648,0.02681496,0.131,38767.98
0.2487694,0.024886135,0.131,39832.531
0.24528234,0.02295731,0.131,40919.895
0.24179527,0.021106582,0.131,42027.613
0.23830822,0.019414527,0.131,43156.617
0.23482114,0.017876294,0.131,44312.328
0.23133408,0.0164779,0.131,45499.844
0.22784702,0.015206633,0.131,46722.551
0.22435996,0.014050936,0.131,47982.551
0.22087291,0.013000302,0.131,49281.629
0.25225648,0.028743785,0.131,38683.57
0.2487694,0.02681496,0.131,39758.664
0.24528234,0.024886135,0.131,40857.676
0.24179527,0.02295731,0.131,41978.004
0.23830822,0.021106582,0.131,43117.871
0.23482114,0.019414527,0.131,44279.625
0.23133408,0.017876294,0.131,45469.555
0.22784702,0.0164779,0.131,46692.52
0.22435996,0.015206633,0.131,47951.523
0.22087291,0.014050936,0.131,49248.754
0.21738583,0.013000302,0.131,50586.426
0.25225648,0.030672612,0.131,38587.238
0.2487694,0.028743785,0.131,39671.172
0.24528234,0.02681496,0.131,40781.211
0.24179527,0.024886135,0.131,41913.305
0.23830822,0.02295731,0.131,43065.57
0.23482114,0.021106582,0.131,44237.957
0.23133408,0.019414527,0.131,45433.863
0.22784702,0.017876294,0.131,46659.27
0.22435996,0.0164779,0.131,47918.457
0.22087291,0.015206633,0.131,49214.371
0.21738583,0.014050936,0.131,50549.629
0.21389876,0.013000302,0.131,51926.898
0.25225648,0.032601438,0.131,38480.707
0.2487694,0.030672612,0.131,39571.223
0.24528234,0.028743785,0.131,40690.465
0.24179527,0.02681496,0.131,41833.656
0.23830822,0.024886135,0.131,42997.406
0.23482114,0.02295731,0.131,44181.75
0.23133408,0.021106582,0.131,45387.984
0.22784702,0.019414527,0.131,46619.324
0.22435996,0.017876294,0.131,47881.023
0.22087291,0.0164779,0.131,49177.078
0.21738583,0.015206633,0.131,50510.73
0.21389876,0.014050936,0.131,51885.199
0.21041171,0.013000302,0.131,53303.078
0.25225648,0.03453026,0.131,38365.859
0.2487694,0.032601438,0.131,39460.543
0.24528234,0.030672612,0.131,40586.656
0.24179527,0.028743785,0.131,41739.207
0.23830822,0.02681496,0.131,42913.949
0.23482114,0.024886135,0.131,44109.074
0.23133408,0.02295731,0.131,45326.469
0.22784702,0.021106582,0.131,46567.77
0.22435996,0.019414527,0.131,47835.375
0.22087291,0.017876294,0.131,49134.109
0.21738583,0.0164779,0.131,50467.973
0.21389876,0.015206633,0.131,51840.766
0.21041171,0.014050936,0.131,53255.887
0.20692465,0.013000302,0.131,54714.441
0.25225648,0.036459088,0.131,38244.504
0.2487694,0.03453026,0.131,39341.059
0.24528234,0.032601438,0.131,40471.625
0.24179527,0.030672612,0.131,41631.281
0.23830822,0.028743785,0.131,42815.508
0.23482114,0.02681496,0.131,44021.137
0.23133408,0.024886135,0.131,45248.102
0.22784702,0.02295731,0.131,46499.43
0.22435996,0.021106582,0.131,47776.66
0.22087291,0.019414525,0.131,49081.422
0.21738583,0.017876294,0.131,50418.336
0.21389876,0.0164779,0.131,51791.668
0.21041171,0.015206633,0.131,53205.457
0.20692465,0.014050936,0.131,54661.914
0.20343757,0.013000302,0.131,56159.934
0.25225648,0.03838791,0.131,38118.473
0.2487694,0.036459088,0.131,39214.738
0.24528234,0.03453026,0.131,40347.461
0.24179527,0.032601438,0.131,41511.922
0.23830822,0.030672612,0.131,42703.605
0.23482114,0.028743785,0.131,43918.531
0.23133408,0.02681496,0.131,45154.957
0.22784702,0.024886135,0.131,46414.234
0.22435996,0.02295731,0.131,47700.25
0.22087291,0.021106582,0.131,49014.492
0.21738583,0.019414525,0.131,50357.953
0.21389876,0.017876294,0.131,51735.016
0.21041171,0.0164779,0.131,53149.965
0.20692465,0.015206633,0.131,54605.953
0.20343757,0.014050936,0.131,56103.102
0.19995052,0.013000302,0.131,57638.941
0.25225648,0.040316738,0.131,37989.609
0.2487694,0.03838791,0.131,39083.664
0.24528234,0.036459088,0.131,40216.395
0.24179527,0.03453026,0.131,41383.48
0.23830822,0.032601438,0.131,42580.516
0.23482114,0.030672612,0.131,43803.051
0.23133408,0.028743785,0.131,45048.121
0.22784702,0.02681496,0.131,46315.387
0.22435996,0.024886135,0.131,47607.609
0.22087291,0.02295731,0.131,48929.684
0.21738583,0.021106582,0.131,50282.988
0.21389876,0.019414525,0.131,51667.523
0.21041171,0.017876294,0.131,53087.02
0.20692465,0.0164779,0.131,54545.074
0.20343757,0.015206633,0.131,56043.094
0.19995052,0.014050936,0.131,57580.031
0.19646345,0.013000302,0.131,59150.285
0.25225648,0.042245559,0.131,37859.691
0.2487694,0.040316738,0.131,38949.941
0.24528234,0.03838791,0.131,40080.828
0.24179527,0.036459088,0.131,41248.496
0.23830822,0.03453026,0.131,42448.883
0.23482114,0.032601438,0.131,43677.25
0.23133408,0.030672612,0.131,44929.77
0.22784702,0.028743785,0.131,46204.656
0.22435996,0.02681496,0.131,47503.336
0.22087291,0.024886135,0.131,48830.215
0.21738583,0.02295731,0.131,50191.129
0.21389876,0.021106582,0.131,51586.348
0.21041171,0.019414525,0.131,53014.238
0.20692465,0.017876294,0.131,54477.602
0.20343757,0.0164779,0.131,55978.914
0.19995052,0.015206633,0.131,57518.645
0.19646345,0.014050936,0.131,59092.781
0.1929764,0.013000302,0.131,60690.754
0.25225648,0.044174388,0.131,37730.496
0.2487694,0.042245559,0.131,38815.684
0.24528234,0.040316738,0.131,39943.137
0.24179527,0.03838791,0.131,41109.672
0.23830822,0.036459088,0.131,42311.527
0.23482114,0.03453026,0.131,43544.027
0.23133408,0.032601438,0.131,44802.723
0.22784702,0.030672612,0.131,46084.652
0.22435996,0.028743785,0.131,47389.906
0.22087291,0.02681496,0.131,48722.062
0.21738583,0.024886135,0.131,50087.172
0.21389876,0.02295731,0.131,51490.508
0.21041171,0.021106582,0.131,52929.82
0.20692465,0.019414525,0.131,54402.109
0.20343757,0.017876294,0.131,55909.609
0.19995052,0.0164779,0.131,57454.27
0.19646345,0.015206633,0.131,59033.844
0.1929764,0.014050936,0.131,60639.105
0.18948933,0.013000302,0.131,62253.793
0.25225648,0.046103209,0.131,37603.695
0.2487694,0.044174388,0.131,38682.848
0.24528234,0.042245559,0.131,39805.719
0.24179527,0.040316738,0.131,40969.594
0.23830822,0.03838791,0.131,42171.352
0.23482114,0.036459088,0.131,43406.379
0.23133408,0.03453026,0.131,44670.008
0.22784702,0.032601438,0.131,45958.344
0.22435996,0.030672612,0.131,47270.258
