x,y,z,pressure,x_over_Lp
0.00050738669,0.076964408,0.131,48965.422,0.0
0.001596598,0.076964408,0.131,48960.32,0.004326574907099117
0.0028345268,0.076964408,0.131,48956.527,0.00924388675805237
0.0042166738,0.076964408,0.131,48953.633,0.014734063432881724
0.0057295733,0.076964408,0.131,48951.773,0.020743616357614757
0.0073501561,0.076964408,0.131,48951.57,0.02718090984968878
0.0090463981,0.076964408,0.131,48953.129,0.033918737492671686
0.010779426,0.076964408,0.131,48955.855,0.040802686416634544
0.012506871,0.076964408,0.131,48959.688,0.047664458895285935
0.014186896,0.076964408,0.131,48964.398,0.05433786922582978
0.01578214,0.076964408,0.131,48969.594,0.06067451170992263
0.017262768,0.076964408,0.131,48974.699,0.06655587549373089
0.018608211,0.076964408,0.131,48979.098,0.07190025621149276
0.019807447,0.076964408,0.131,48982.281,0.07666387217623143
0.02085809,0.076964408,0.131,48983.898,0.08083724569740734
0.021764718,0.076964408,0.131,48983.629,0.08443856154756452
0.022536881,0.076964408,0.131,48984.617,0.08750575432211474
0.023187207,0.076964408,0.131,48974.02,0.09008898507559833
0.023729773,0.076964408,0.131,48968.5,0.09224417059331493
0.024178877,0.076964408,0.131,48962.844,0.09402810551874079
0.024581734,0.076964408,0.131,48961.082,0.09562833769714998
0.025001533,0.076964408,0.131,48962.641,0.09729586703948236
0.025463311,0.076964408,0.131,48970.516,0.09913014574105994
0.025971267,0.076964408,0.131,48977.051,0.10114785310723708
0.026530018,0.076964408,0.131,48984.18,0.10336732882670654
0.027144644,0.076964408,0.131,48991.707,0.10580875172090207
0.027820732,0.076964408,0.131,48999.0,0.10849431452119179
0.028564431,0.076964408,0.131,49005.633,0.11144844234037016
0.029382497,0.076964408,0.131,49011.773,0.11469797142206041
0.030282373,0.076964408,0.131,49017.809,0.11827246691743011
0.031272233,0.076964408,0.131,49024.023,0.12220439766238458
0.032361083,0.076964408,0.131,49030.48,0.12652953737067024
0.03353598,0.076964408,0.131,49036.449,0.1311964737419296
0.034745067,0.076964408,0.131,49041.398,0.1359992199369721
0.035954155,0.076964408,0.131,49046.102,0.14080197010422354
0.037163246,0.076964408,0.131,49050.812,0.14560473218810177
0.03836748,0.076964408,0.131,49055.305,0.15038820125314079
0.03965681,0.076964408,0.131,49062.297,0.15550968941044802
0.041139543,0.076964408,0.131,49070.086,0.16139941469408264
0.042844683,0.076964408,0.131,49078.477,0.1681725870522461
0.044805598,0.076964408,0.131,49087.742,0.17596175115296983
0.04702124,0.076964408,0.131,49097.48,0.18476274412128088
0.049354807,0.076964408,0.131,49105.77,0.19403215982927108
0.051688373,0.076964408,0.131,49112.703,0.20330157156505232
0.05402194,0.076964408,0.131,49118.676,0.2125709872730425
0.056355502,0.076964408,0.131,49124.492,0.22184038311998797
0.058689069,0.076964408,0.131,49130.895,0.23110979882797816
0.061022636,0.076964408,0.131,49138.211,0.24037921453596833
0.063356198,0.076964408,0.131,49146.512,0.2496486103829138
0.065689765,0.076964408,0.131,49155.836,0.258918026090904
0.068023331,0.076964408,0.131,49166.07,0.26818743782668525
0.070356898,0.076964408,0.131,49176.531,0.2774568535346754
0.072690465,0.076964408,0.131,49185.355,0.28672626924266553
0.075024031,0.076964408,0.131,49191.16,0.2959956809784468
0.077357598,0.076964408,0.131,49193.75,0.305265096686437
0.079691164,0.076964408,0.131,49180.629,0.3145345084222182
0.082024731,0.076964408,0.131,49210.164,0.3238039241302084
0.084358297,0.076964408,0.131,49103.652,0.33307333586598964
0.086691871,0.076964408,0.131,49305.988,0.34234277937944246
0.08902543,0.076964408,0.131,48737.086,0.3516121633097611
0.091358989,0.076964408,0.131,50416.316,0.3608815472400797
0.093692556,0.076964408,0.131,54815.594,0.3701509629480699
0.096026123,0.076964408,0.131,65479.539,0.3794203786560601
0.098359689,0.076964408,0.131,79427.828,0.3886897903918413
0.10069326,0.076964408,0.131,85720.656,0.3979592219886673
0.10302682,0.076964408,0.131,87166.039,0.40722860989119486
0.10536039,0.076964408,0.131,87537.594,0.4164980375158118
0.10769396,0.076964408,0.131,87033.594,0.4257674651404289
0.11002752,0.076964408,0.131,84706.539,0.4350368530429565
0.11236109,0.076964408,0.131,83867.828,0.44430628066757344
0.11469465,0.076964408,0.131,82695.148,0.453575668570101
0.11702822,0.076964408,0.131,81434.422,0.46284509619471803
0.11936179,0.076964408,0.131,80311.078,0.47211452381933505
0.12169535,0.076964408,0.131,79340.867,0.4813839117218626
0.12402891,0.076964408,0.131,78477.25,0.49065329962439025
0.12636247,0.076964408,0.131,77703.047,0.4999226875269178
0.12869605,0.076964408,0.131,77025.555,0.5091921548736242
0.13102962,0.076964408,0.131,76446.922,0.5184615824982413
0.13336319,0.076964408,0.131,75952.883,0.5277310101228583
0.13569674,0.076964408,0.131,75520.18,0.5370003583032964
0.13803032,0.076964408,0.131,75133.898,0.5462698256500029
0.14036389,0.076964408,0.131,74789.727,0.5555392532746198
0.14269745,0.076964408,0.131,74490.945,0.5648086411771475
0.14503101,0.076964408,0.131,74236.25,0.574078029079675
0.14736459,0.076964408,0.131,74022.211,0.5833474964263814
0.14969815,0.076964408,0.131,73844.195,0.592616884328909
0.15211432,0.076964408,0.131,73692.945,0.6022144164122709
0.15486297,0.076964408,0.131,73554.312,0.6131326285252152
0.15810576,0.076964408,0.131,73403.469,0.6260136679655715
0.16159281,0.076964408,0.131,73194.82,0.6398649591625017
0.16507988,0.076964408,0.131,72853.391,0.653716329803611
0.16856694,0.076964408,0.131,72255.633,0.6675676607226307
0.17205401,0.076964408,0.131,71341.828,0.68141903136374
0.17554107,0.076964408,0.131,70085.805,0.6952703622827597
0.17902812,0.076964408,0.131,68520.617,0.7091216534796901
0.18251519,0.076964408,0.131,66720.469,0.7229730241207993
0.18600225,0.076964408,0.131,64773.152,0.7368243550398191
0.18948933,0.076964408,0.131,62755.258,0.7506757654030178
0.1929764,0.076964408,0.131,60722.719,0.764527136044127
0.19646345,0.076964408,0.131,58713.016,0.7783784272410574
0.19995052,0.076964408,0.131,56749.773,0.7922297978821665
0.20343757,0.076964408,0.131,54847.266,0.806081089079097
0.20692465,0.076964408,0.131,53013.098,0.8199324994422955
0.21041171,0.076964408,0.131,51250.934,0.8337838303613154
0.21389876,0.076964408,0.131,49563.465,0.8476351215582457
0.21738583,0.076964408,0.131,47952.051,0.8614864921993549
0.22087291,0.076964408,0.131,46416.578,0.8753379025625536
0.22435996,0.076964408,0.131,44954.773,0.8891891937594839
0.22784702,0.076964408,0.131,43564.156,0.9030405246785038
0.23133408,0.076964408,0.131,42242.777,0.9168918555975235
0.23482114,0.076964408,0.131,40988.016,0.9307431865165433
0.23830822,0.076964408,0.131,39798.152,0.9445945968797419
0.24179527,0.076964408,0.131,38669.848,0.9584458880766723
0.24528234,0.076964408,0.131,37600.988,0.9722972587177815
0.2487694,0.076964408,0.131,36589.367,0.9861485896368013
0.25225648,0.076964408,0.131,35631.062,1.0
