x,y,z,pressure,x-coordinate,y-coordinate,z-coordinate
0.25225648,0.013000302,0.131,39088.242,0.25225648,0.013000302,0.131
0.25225648,0.014050936,0.131,39024.75,0.25225648,0.014050935,0.131
0.2487694,0.013000302,0.131,40034.109,0.2487694,0.013000302,0.131
0.25225648,0.015206633,0.131,38955.734,0.25225648,0.015206633,0.131
0.2487694,0.014050936,0.131,39973.191,0.2487694,0.014050935,0.131
0.24528234,0.013000302,0.131,41016.469,0.24528234,0.013000302,0.131
0.25225648,0.0164779,0.131,38880.895,0.25225648,0.0164779,0.131
0.2487694,0.015206633,0.131,39906.828,0.2487694,0.015206633,0.131
0.24528234,0.014050936,0.131,40957.664,0.24528234,0.014050935,0.131
0.24179527,0.013000302,0.131,42034.449,0.24179527,0.013000302,0.131
0.25225648,0.017876294,0.131,38799.859,0.25225648,0.017876294,0.131
0.2487694,0.0164779,0.131,39834.637,0.2487694,0.0164779,0.131
0.24528234,0.015206633,0.131,40893.473,0.24528234,0.015206633,0.131
0.24179527,0.014050936,0.131,41977.5,0.24179527,0.014050935,0.131
0.23830822,0.013000302,0.131,43087.445,0.23830822,0.013000302,0.131
0.25225648,0.019414527,0.131,38712.117,0.25225648,0.019414527,0.131
0.2487694,0.017876294,0.131,39756.133,0.2487694,0.017876294,0.131
0.24528234,0.0164779,0.131,40823.398,0.24528234,0.0164779,0.131
0.24179527,0.015206633,0.131,41915.141,0.24179527,0.015206633,0.131
0.23830822,0.014050936,0.131,43032.094,0.23830822,0.014050935,0.131
0.23482114,0.013000302,0.131,44174.938,0.23482116,0.013000302,0.131
0.25225648,0.021106582,0.131,38616.871,0.25225648,0.021106582,0.131
0.2487694,0.019414527,0.131,39670.598,0.2487694,0.019414527,0.131
0.24528234,0.017876294,0.131,40746.793,0.24528234,0.017876294,0.131
0.24179527,0.0164779,0.131,41846.715,0.24179527,0.0164779,0.131
0.23830822,0.015206633,0.131,42971.227,0.23830822,0.015206633,0.131
0.23482114,0.014050936,0.131,44120.801,0.23482116,0.014050935,0.131
0.23133408,0.013000302,0.131,45295.523,0.23133409,0.013000302,0.131
0.25225648,0.02295731,0.131,38513.309,0.25225648,0.02295731,0.131
0.2487694,0.021106582,0.131,39576.953,0.2487694,0.021106582,0.131
0.24528234,0.019414527,0.131,40662.691,0.24528234,0.019414527,0.131
0.24179527,0.017876294,0.131,41771.363,0.24179527,0.017876294,0.131
0.23830822,0.0164779,0.131,42903.992,0.23830822,0.0164779,0.131
0.23482114,0.015206633,0.131,44060.898,0.23482116,0.015206633,0.131
0.23133408,0.014050936,0.131,45242.02,0.23133409,0.014050935,0.131
0.22784702,0.013000302,0.131,46448.004,0.22784702,0.013000302,0.131
0.25225648,0.024886135,0.131,38404.582,0.25225648,0.024886135,0.131
0.2487694,0.02295731,0.131,39474.008,0.2487694,0.02295731,0.131
0.24528234,0.021106582,0.131,40569.68,0.24528234,0.021106582,0.131
0.24179527,0.019414527,0.131,41687.832,0.24179527,0.019414527,0.131
0.23830822,0.017876294,0.131,42829.246,0.23830822,0.017876294,0.131
0.23482114,0.0164779,0.131,43994.164,0.23482116,0.0164779,0.131
0.23133408,0.015206633,0.131,45182.41,0.23133409,0.015206633,0.131
0.22784702,0.014050936,0.131,46394.344,0.22784702,0.014050935,0.131
0.22435996,0.013000302,0.131,47631.195,0.22435996,0.013000302,0.131
0.25225648,0.02681496,0.131,38293.457,0.25225648,0.02681496,0.131
0.2487694,0.024886135,0.131,39364.715,0.2487694,0.024886135,0.131
0.24528234,0.02295731,0.131,40466.238,0.24528234,0.02295731,0.131
0.24179527,0.021106582,0.131,41594.406,0.24179527,0.021106582,0.131
0.23830822,0.019414527,0.131,42745.449,0.23830822,0.019414527,0.131
0.23482114,0.017876294,0.131,43919.199,0.23482116,0.017876294,0.131
0.23133408,0.0164779,0.131,45115.41,0.23133409,0.0164779,0.131
0.22784702,0.015206633,0.131,46334.156,0.22784702,0.015206633,0.131
0.22435996,0.014050936,0.131,47576.543,0.22435996,0.014050935,0.131
0.22087291,0.013000302,0.131,48844.492,0.22087289,0.013000302,0.131
0.25225648,0.028743785,0.131,38178.602,0.25225648,0.028743787,0.131
0.2487694,0.02681496,0.131,39251.934,0.2487694,0.02681496,0.131
0.24528234,0.024886135,0.131,40355.277,0.24528234,0.024886135,0.131
0.24179527,0.02295731,0.131,41489.352,0.24179527,0.02295731,0.131
0.23830822,0.021106582,0.131,42650.648,0.23830822,0.021106582,0.131
0.23482114,0.019414527,0.131,43834.23,0.23482116,0.019414527,0.131
0.23133408,0.017876294,0.131,45039.395,0.23133409,0.017876294,0.131
0.22784702,0.0164779,0.131,46266.004,0.22784702,0.0164779,0.131
0.22435996,0.015206633,0.131,47514.938,0.22435996,0.015206633,0.131
0.22087291,0.014050936,0.131,48788.141,0.22087289,0.014050935,0.131
0.21738583,0.013000302,0.131,50087.5,0.21738583,0.013000302,0.131
0.25225648,0.030672612,0.131,38059.051,0.25225648,0.030672612,0.131
0.2487694,0.028743785,0.131,39134.562,0.2487694,0.028743785,0.131
0.24528234,0.02681496,0.131,40239.855,0.24528234,0.02681496,0.131
0.24179527,0.024886135,0.131,41375.684,0.24179527,0.024886135,0.131
0.23830822,0.02295731,0.131,42543.023,0.23830822,0.02295731,0.131
0.23482114,0.021106582,0.131,43737.133,0.23482116,0.021106582,0.131
0.23133408,0.019414527,0.131,44952.434,0.23133409,0.019414527,0.131
0.22784702,0.017876294,0.131,46188.113,0.22784702,0.017876294,0.131
0.22435996,0.0164779,0.131,47444.836,0.22435996,0.0164779,0.131
0.22087291,0.015206633,0.131,48724.473,0.22087289,0.015206633,0.131
0.21738583,0.014050936,0.131,50029.035,0.21738583,0.014050935,0.131
0.21389876,0.013000302,0.131,51359.754,0.21389876,0.013000302,0.131
0.25225648,0.032601438,0.131,37934.328,0.25225648,0.032601435,0.131
0.2487694,0.030672612,0.131,39011.883,0.2487694,0.030672612,0.131
0.24528234,0.028743785,0.131,40119.145,0.24528234,0.028743785,0.131
0.24179527,0.02681496,0.131,41256.84,0.24179527,0.02681496,0.131
0.23830822,0.024886135,0.131,42425.879,0.23830822,0.024886135,0.131
0.23482114,0.02295731,0.131,43626.156,0.23482116,0.02295731,0.131
0.23133408,0.021106582,0.131,44852.398,0.23133409,0.021106582,0.131
0.22784702,0.019414527,0.131,46098.527,0.22784702,0.019414527,0.131
0.22435996,0.017876294,0.131,47364.484,0.22435996,0.017876294,0.131
0.22087291,0.0164779,0.131,48651.945,0.22087289,0.0164779,0.131
0.21738583,0.015206633,0.131,49963.0,0.21738583,0.015206633,0.131
0.21389876,0.014050936,0.131,51299.16,0.21389876,0.014050935,0.131
0.21041171,0.013000302,0.131,52661.027,0.21041171,0.013000302,0.131
0.25225648,0.03453026,0.131,37804.492,0.25225648,0.03453026,0.131
0.2487694,0.032601438,0.131,38883.723,0.2487694,0.032601435,0.131
0.24528234,0.030672612,0.131,39992.762,0.24528234,0.030672612,0.131
0.24179527,0.028743785,0.131,41132.34,0.24179527,0.028743785,0.131
0.23830822,0.02681496,0.131,42303.145,0.23830822,0.02681496,0.131
0.23482114,0.024886135,0.131,43505.062,0.23482116,0.024886135,0.131
0.23133408,0.02295731,0.131,44737.719,0.23133409,0.02295731,0.131
0.22784702,0.021106582,0.131,45995.285,0.22784702,0.021106582,0.131
0.22435996,0.019414527,0.131,47272.07,0.22435996,0.019414527,0.131
0.22087291,0.017876294,0.131,48568.957,0.22087289,0.017876294,0.131
0.21738583,0.0164779,0.131,49887.996,0.21738583,0.0164779,0.131
0.21389876,0.015206633,0.131,51230.926,0.21389876,0.015206633,0.131
0.21041171,0.014050936,0.131,52599.0,0.21041171,0.014050935,0.131
0.20692465,0.013000302,0.131,53990.871,0.20692465,0.013000302,0.131
0.25225648,0.036459088,0.131,37669.926,0.25225648,0.036459085,0.131
0.2487694,0.03453026,0.131,38750.387,0.2487694,0.03453026,0.131
0.24528234,0.032601438,0.131,39860.863,0.24528234,0.032601435,0.131
0.24179527,0.030672612,0.131,41002.129,0.24179527,0.030672612,0.131
0.23830822,0.028743785,0.131,42174.73,0.23830822,0.028743785,0.131
0.23482114,0.02681496,0.131,43378.34,0.23482116,0.02681496,0.131
0.23133408,0.024886135,0.131,44612.688,0.23133409,0.024886135,0.131
0.22784702,0.02295731,0.131,45877.18,0.22784702,0.02295731,0.131
0.22435996,0.021106582,0.131,47165.957,0.22435996,0.021106582,0.131
0.22087291,0.019414525,0.131,48474.02,0.22087289,0.019414527,0.131
0.21738583,0.017876294,0.131,49802.727,0.21738583,0.017876294,0.131
0.21389876,0.0164779,0.131,51153.961,0.21389876,0.0164779,0.131
0.21041171,0.015206633,0.131,52529.594,0.21041171,0.015206633,0.131
0.20692465,0.014050936,0.131,53929.168,0.20692465,0.014050935,0.131
0.20343757,0.013000302,0.131,55347.789,0.20343758,0.013000302,0.131
0.25225648,0.03838791,0.131,37531.195,0.25225648,0.03838791,0.131
0.2487694,0.036459088,0.131,38612.512,0.2487694,0.036459085,0.131
0.24528234,0.03453026,0.131,39724.062,0.24528234,0.03453026,0.131
0.24179527,0.032601438,0.131,40866.727,0.24179527,0.032601435,0.131
0.23830822,0.030672612,0.131,42040.961,0.23830822,0.030672612,0.131
0.23482114,0.028743785,0.131,43246.309,0.23482116,0.028743785,0.131
0.23133408,0.02681496,0.131,44482.414,0.23133409,0.02681496,0.131
0.22784702,0.024886135,0.131,45749.082,0.22784702,0.024886135,0.131
0.22435996,0.02295731,0.131,47045.395,0.22435996,0.02295731,0.131
0.22087291,0.021106582,0.131,48365.977,0.22087289,0.021106582,0.131
0.21738583,0.019414525,0.131,49706.223,0.21738583,0.019414527,0.131
0.21389876,0.017876294,0.131,51067.457,0.21389876,0.017876294,0.131
0.21041171,0.0164779,0.131,52452.117,0.21041171,0.0164779,0.131
0.20692465,0.015206633,0.131,53860.715,0.20692465,0.015206633,0.131
0.20343757,0.014050936,0.131,55289.246,0.20343758,0.014050935,0.131
0.19995052,0.013000302,0.131,56728.367,0.19995052,0.013000302,0.131
0.25225648,0.040316738,0.131,37388.781,0.25225648,0.040316734,0.131
0.2487694,0.03838791,0.131,38470.832,0.2487694,0.03838791,0.131
0.24528234,0.036459088,0.131,39583.281,0.24528234,0.036459085,0.131
0.24179527,0.03453026,0.131,40727.086,0.24179527,0.03453026,0.131
0.23830822,0.032601438,0.131,41902.727,0.23830822,0.032601435,0.131
0.23482114,0.030672612,0.131,43109.711,0.23482116,0.030672612,0.131
0.23133408,0.028743785,0.131,44347.648,0.23133409,0.028743785,0.131
0.22784702,0.02681496,0.131,45616.609,0.22784702,0.02681496,0.131
0.22435996,0.024886135,0.131,46915.82,0.22435996,0.024886135,0.131
0.22087291,0.02295731,0.131,48244.66,0.22087289,0.02295731,0.131
0.21738583,0.021106582,0.131,49597.902,0.21738583,0.021106582,0.131
0.21389876,0.019414525,0.131,50971.047,0.21389876,0.019414527,0.131
0.21041171,0.017876294,0.131,52366.316,0.21041171,0.017876294,0.131
0.20692465,0.0164779,0.131,53785.215,0.20692465,0.0164779,0.131
0.20343757,0.015206633,0.131,55224.902,0.20343758,0.015206633,0.131
